Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds),TravelDistance (Meters)
186,"20001, Northwest Washington, Washington",322,"4900 Nicholson Street, Riverdale, Riverdale Park","07/31/2016 - 08/28/2016, Every day, Daily Average",1647,1277,2123,10176
186,"20001, Northwest Washington, Washington",323,"Cabiglas Street, Joint Base Andrews","07/31/2016 - 08/28/2016, Every day, Daily Average",1633,1244,2142,22541
186,"20001, Northwest Washington, Washington",324,"3100 Bolivia Court, Fort Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1812,1254,2616,24487
186,"20001, Northwest Washington, Washington",325,"8500 Pepco Place, Upper Marlboro","07/31/2016 - 08/28/2016, Every day, Daily Average",1718,1256,2349,21978
186,"20001, Northwest Washington, Washington",326,"4900 46th Avenue, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1527,1217,1915,8662
186,"20001, Northwest Washington, Washington",327,"1000 Stratwood Avenue, Oxon Hill","07/31/2016 - 08/28/2016, Every day, Daily Average",1312,965,1782,19854
186,"20001, Northwest Washington, Washington",328,"1700 Tucker Road, Fort Washington","07/31/2016 - 08/28/2016, Every day, Daily Average",1462,1067,2002,22518
186,"20001, Northwest Washington, Washington",329,"1300 Fenwood Avenue, Oxon Hill","07/31/2016 - 08/28/2016, Every day, Daily Average",1544,1108,2151,15362
186,"20001, Northwest Washington, Washington",330,"8600 Lancaster Drive, Bethesda","07/31/2016 - 08/28/2016, Every day, Daily Average",2167,1592,2948,15649
186,"20001, Northwest Washington, Washington",331,"2100 Jameson Street, Temple Hills","07/31/2016 - 08/28/2016, Every day, Daily Average",1531,1042,2248,14383
186,"20001, Northwest Washington, Washington",332,"Perrie Lane, Camp Springs","07/31/2016 - 08/28/2016, Every day, Daily Average",1513,1190,1922,28072
186,"20001, Northwest Washington, Washington",333,"2000 Hayden Road, Hyattsville","07/31/2016 - 08/28/2016, Every day, Daily Average",1426,1091,1863,6371
186,"20001, Northwest Washington, Washington",334,"5900 Fisher Road, Temple Hills","07/31/2016 - 08/28/2016, Every day, Daily Average",1365,1007,1849,22161
186,"20001, Northwest Washington, Washington",335,"1500 Southview Drive, Oxon Hill","07/31/2016 - 08/28/2016, Every day, Daily Average",1494,1098,2031,14651
186,"20001, Northwest Washington, Washington",336,"2700 Keating Street, Hillcrest Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1445,1037,2012,13536
186,"20001, Northwest Washington, Washington",337,"2500 Eliot Place, Temple Hills","07/31/2016 - 08/28/2016, Every day, Daily Average",1234,889,1711,12987
186,"20001, Northwest Washington, Washington",338,"3400 Randall Road, Suitland, Suitland-Silver Hill","07/31/2016 - 08/28/2016, Every day, Daily Average",1316,997,1736,15115
186,"20001, Northwest Washington, Washington",339,"2700 Phelps Avenue, District Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",2023,1455,2812,21901
186,"20001, Northwest Washington, Washington",340,"5900 Beech Avenue, Bethesda","07/31/2016 - 08/28/2016, Every day, Daily Average",1814,1427,2305,34755
186,"20001, Northwest Washington, Washington",341,"8600 Irvington Avenue, Bradmoor, Bethesda","07/31/2016 - 08/28/2016, Every day, Daily Average",2148,1673,2757,16009
186,"20001, Northwest Washington, Washington",342,"6600 Halleck Street, District Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1913,1363,2683,16248
186,"20001, Northwest Washington, Washington",343,"3900 Billings Place, Capitol Heights","07/31/2016 - 08/28/2016, Every day, Daily Average",1217,878,1686,11540
186,"20001, Northwest Washington, Washington",344,"5400 Moorland Lane, Bethesda","07/31/2016 - 08/28/2016, Every day, Daily Average",2003,1623,2471,14338
186,"20001, Northwest Washington, Washington",345,"8800 Brierly Road, Chevy Chase","07/31/2016 - 08/28/2016, Every day, Daily Average",1923,1562,2366,13767
