"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"9","Arc de triomphe du Carrousel, Paris","4212","0 Rue Favier, Bry-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1381,1189,1603
"9","Arc de triomphe du Carrousel, Paris","4213","0 Rue du Marechal Joffre, Bry-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1506,1206,1880
"9","Arc de triomphe du Carrousel, Paris","4214","0 Rue du 2 Décembre 1870, Bry-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1407,1036,1910
"9","Arc de triomphe du Carrousel, Paris","4215","0 Avenue Carnot, Cachan","09/03/2016 - 10/01/2016, Every day, Daily Average",1815,1280,2572
"9","Arc de triomphe du Carrousel, Paris","4220","0 Rue Marcel Bonnet, Cachan","09/03/2016 - 10/01/2016, Every day, Daily Average",1789,1364,2344
"9","Arc de triomphe du Carrousel, Paris","4223","0 Boulevard de la Vanne, Cachan","09/03/2016 - 10/01/2016, Every day, Daily Average",1452,1018,2070
"9","Arc de triomphe du Carrousel, Paris","4229","0 Rue du Panorama, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1404,1073,1836
"9","Arc de triomphe du Carrousel, Paris","4230","0 Rue du Four, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1496,1088,2056
"9","Arc de triomphe du Carrousel, Paris","4231","Rue Pierre Marie Derrien, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1841,1290,2627
"9","Arc de triomphe du Carrousel, Paris","4234","0 Rue Matteotti, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1572,1153,2143
"9","Arc de triomphe du Carrousel, Paris","4235","1200 Rue de Bernaü, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1346,992,1826
"9","Arc de triomphe du Carrousel, Paris","4236","0 Rue Prairial, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1385,1062,1805
"9","Arc de triomphe du Carrousel, Paris","4237","0 Avenue Marx Dormoy, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1928,1405,2644
"9","Arc de triomphe du Carrousel, Paris","4238","0 Avenue Marin, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1297,950,1769
"9","Arc de triomphe du Carrousel, Paris","4240","0 Rue Alfred Grévin, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1568,1176,2090
"9","Arc de triomphe du Carrousel, Paris","4241","100 Boulevard Aristide Briand, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1344,1002,1801
"9","Arc de triomphe du Carrousel, Paris","4242","0 Boulevard des Alliés, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1193,890,1598
"9","Arc de triomphe du Carrousel, Paris","4243","0 Rue du Petit Bois, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1540,1172,2022
"9","Arc de triomphe du Carrousel, Paris","4244","0 Rue des Marronniers, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1595,1118,2274
"9","Arc de triomphe du Carrousel, Paris","4247","900 Rue Marcel Paul, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1691,1318,2168
"9","Arc de triomphe du Carrousel, Paris","4248","0 Clos du Pré de l'Étang, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1321,1009,1729
"9","Arc de triomphe du Carrousel, Paris","4249","0 Rue Jean Savu, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1204,899,1610
"9","Arc de triomphe du Carrousel, Paris","4252","0 Rue Francis de Pressensé, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1313,990,1740
"9","Arc de triomphe du Carrousel, Paris","4254","Rue Jean Ferrat, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1719,1305,2262
"9","Arc de triomphe du Carrousel, Paris","4256","0 Allée Louis Jouvet, Champigny-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",1282,960,1711
"9","Arc de triomphe du Carrousel, Paris","4259","0 Rue de Paris, Charenton-le-Pont","09/03/2016 - 10/01/2016, Every day, Daily Average",917,648,1296
"9","Arc de triomphe du Carrousel, Paris","4260","0 Rue Necker, Charenton-le-Pont","09/03/2016 - 10/01/2016, Every day, Daily Average",806,567,1143
"9","Arc de triomphe du Carrousel, Paris","4261","0 Rue Jeanne d'Arc, Charenton-le-Pont","09/03/2016 - 10/01/2016, Every day, Daily Average",1214,831,1772
"9","Arc de triomphe du Carrousel, Paris","4262","Autoroute de l'Est, Charenton-le-Pont","09/03/2016 - 10/01/2016, Every day, Daily Average",879,618,1249
"9","Arc de triomphe du Carrousel, Paris","4263","0 Rue de la République, Charenton-le-Pont","09/03/2016 - 10/01/2016, Every day, Daily Average",1235,891,1710
"9","Arc de triomphe du Carrousel, Paris","4264","0 Allée des Tilleuls, Charenton-le-Pont","09/03/2016 - 10/01/2016, Every day, Daily Average",1187,817,1723
"9","Arc de triomphe du Carrousel, Paris","4265","0 Villa Saint-Pierre, Charenton-le-Pont","09/03/2016 - 10/01/2016, Every day, Daily Average",1226,851,1765
"9","Arc de triomphe du Carrousel, Paris","4266","0 Avenue de Gravelle, Charenton-le-Pont","09/03/2016 - 10/01/2016, Every day, Daily Average",1151,805,1645
"9","Arc de triomphe du Carrousel, Paris","4267","0 Rue de l'Archevêché, Charenton-le-Pont","09/03/2016 - 10/01/2016, Every day, Daily Average",1116,782,1591
"9","Arc de triomphe du Carrousel, Paris","4268","0 Rue d'Estienne d'Orves, Charenton-le-Pont","09/03/2016 - 10/01/2016, Every day, Daily Average",1180,818,1700
"9","Arc de triomphe du Carrousel, Paris","4275","0 Rue Gay Lussac, Chennevières-sur-Marne","09/03/2016 - 10/01/2016, Every day, Daily Average",2157,1516,3067
"9","Arc de triomphe du Carrousel, Paris","4280","0 Avenue Georges Guynemer, Chevilly-Larue","09/03/2016 - 10/01/2016, Every day, Daily Average",1596,1145,2223
"9","Arc de triomphe du Carrousel, Paris","4281","Rue de Cavaillon, Chevilly-Larue","09/03/2016 - 10/01/2016, Every day, Daily Average",1661,1214,2272
"9","Arc de triomphe du Carrousel, Paris","4282","0 Avenue de la Croix du Sud, Chevilly-Larue","09/03/2016 - 10/01/2016, Every day, Daily Average",1611,1156,2244
"9","Arc de triomphe du Carrousel, Paris","4286","0 Rue du Docteur Roux, Choisy-le-Roi","09/03/2016 - 10/01/2016, Every day, Daily Average",1517,1088,2114
